task_id,department,staff_name,received_date,due_date,completed_date,task_type,status
T001,기획총괄과,김철수,2026-07-01,2026-07-05,2026-07-04,보고서작성,완료
T002,정보화기술과,이영희,2026-07-01,2026-07-06,,시스템운영,진행중
T003,민원소통과,박민수,2026-07-02,2026-07-04,2026-07-05,민원처리,완료
T004,주민복지과,최재원,2026-07-03,2026-07-07,,데이터가공,진행중
T005,기획총괄과,김철수,2026-07-03,2026-07-08,2026-07-08,자료취합,완료
T006,정보화기술과,정수민,2026-07-04,2026-07-09,2026-07-10,보안점검,완료
T007,민원소통과,한지원,2026-07-05,2026-07-08,,민원처리,진행중
T008,주민복지과,최재원,2026-07-05,2026-07-10,2026-07-09,현장조사,완료
T009,기획총괄과,홍길동,2026-07-06,2026-07-10,2026-07-11,기획안수립,완료
T010,정보화기술과,이영희,2026-07-06,2026-07-12,,인프라구축,진행중
T011,민원소통과,박민수,2026-07-07,2026-07-09,2026-07-09,민원처리,완료
T012,주민복지과,강다현,2026-07-07,2026-07-11,2026-07-12,보고서작성,완료
T013,기획총괄과,김철수,2026-07-08,2026-07-12,,지표분석,진행중
T014,정보화기술과,정수민,2026-07-08,2026-07-13,2026-07-12,시스템운영,완료
T015,민원소통과,한지원,2026-07-09,2026-07-12,,민원처리,진행중
T016,주민복지과,최재원,2026-07-09,2026-07-14,2026-07-13,데이터가공,완료
T017,기획총괄과,홍길동,2026-07-10,2026-07-15,2026-07-16,회의록정리,완료
T018,정보화기술과,이영희,2026-07-10,2026-07-15,,서버관리,진행중
T019,민원소통과,박민수,2026-07-11,2026-07-13,,민원처리,진행중
T020,주민복지과,강다현,2026-07-11,2026-07-16,2026-07-15,행사기획,완료
